siren,CODE_REG,INTER_REG,prairies zones arborées,prairies zones arbustives,prairies zones herbacées,vergers,vignes,cultures,zones humides,sols artificiels arborés et buissonants,sols artificiels arbustifs,sols artificiels imperméabilisés,prairies zones arborées vers vergers,prairies zones arborées vers vignes,prairies zones arborées vers cultures,prairies zones arbustives vers vergers,prairies zones arbustives vers vignes,prairies zones arbustives vers cultures,prairies zones herbacées vers vergers,prairies zones herbacées vers vignes,prairies zones herbacées vers cultures,prairies zones arborées vers zones humides,prairies zones arbustives vers zones humides,prairies zones herbacées vers zones humides,prairies zones arborées vers sols artificiels arborés et buissonants,prairies zones arborées vers sols artificiels arbustifs,prairies zones arborées vers sols artificiels imperméabilisés,prairies zones arbustives vers sols artificiels arborés et buissonants,prairies zones arbustives vers sols artificiels arbustifs,prairies zones arbustives vers sols artificiels imperméabilisés,prairies zones herbacées vers sols artificiels arborés et buissonants,prairies zones herbacées vers sols artificiels arbustifs,prairies zones herbacées vers sols artificiels imperméabilisés,vergers vers prairies zones arborées,vergers vers prairies zones arbustives,vergers vers prairies zones herbacées,vignes vers prairies zones arborées,vignes vers prairies zones arbustives,vignes vers prairies zones herbacées,cultures vers prairies zones arborées,cultures vers prairies zones arbustives,cultures vers prairies zones herbacées,vergers vers zones humides,vignes vers zones humides,cultures vers zones humides,vergers vers sols artificiels arborés et buissonants,vergers vers sols artificiels arbustifs,vergers vers sols artificiels imperméabilisés,vignes vers sols artificiels arborés et buissonants,vignes vers sols artificiels arbustifs,vignes vers sols artificiels imperméabilisés,cultures vers sols artificiels arborés et buissonants,cultures vers sols artificiels arbustifs,cultures vers sols artificiels imperméabilisés,zones humides vers prairies zones arborées,zones humides vers prairies zones arbustives,zones humides vers prairies zones herbacées,zones humides vers vergers,zones humides vers vignes,zones humides vers cultures,zones humides vers sols artificiels arborés et buissonants,zones humides vers sols artificiels arbustifs,zones humides vers sols artificiels imperméabilisés,sols artificiels arborés et buissonants vers prairies zones arborées,sols artificiels arborés et buissonants vers prairies zones arbustives,sols artificiels arborés et buissonants vers prairies zones herbacées,sols artificiels arbustifs vers prairies zones arborées,sols artificiels arbustifs vers prairies zones arbustives,sols artificiels arbustifs vers prairies zones herbacées,sols artificiels imperméabilisés vers prairies zones arborées,sols artificiels imperméabilisés vers prairies zones arbustives,sols artificiels imperméabilisés vers prairies zones herbacées,sols artificiels arborés et buissonants vers vergers,sols artificiels arborés et buissonants vers vignes,sols artificiels arborés et buissonants vers cultures,sols artificiels arbustifs vers vergers,sols artificiels arbustifs vers vignes,sols artificiels arbustifs vers cultures,sols artificiels imperméabilisés vers vergers,sols artificiels imperméabilisés vers vignes,sols artificiels imperméabilisés vers cultures,sols artificiels arborés et buissonants vers zones humides,sols artificiels arbustifs vers zones humides,sols artificiels imperméabilisés vers zones humides,cultures vers vergers,cultures vers vignes,vergers vers vignes,vergers vers cultures,vignes vers vergers,vignes vers cultures,
200054807,93,SUD-EST,44,7,,16,5,,,44,7,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-57,-7,,,-37,-44,1.85,,-7,2.2,0.35,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,-16,-5,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,2.2,0.35,,0.8,0.25,,2.2,0.35,,,-37,-44,1.85,,-7,2.2,0.35,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-44,-7,,0.8,0.25,-11,-16,0.55,-5,
200055481,24,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200055655,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200055887,52,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200056232,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200056380,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200057859,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200057958,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200058360,24,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200058477,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200058485,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200058519,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200058782,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200059228,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200059392,84,CENTRE-EST,57,7,,16,5,,,57,7,,-41,-52,-57,0.45,-2,-7,0.8,0.25,,-57,-7,,,-50,-57,2.5,,-7,2.85,0.35,,2.05,-9,-16,2.6,0.1,-5,2.85,0.35,,-16,-5,,2.05,-9,-16,2.6,0.1,-5,2.85,0.35,,2.85,0.35,,0.8,0.25,,2.85,0.35,,,-50,-57,2.5,,-7,2.85,0.35,,-41,-52,-57,0.45,-2,-7,0.8,0.25,,-57,-7,,0.8,0.25,-11,-16,0.55,-5,
200059400,75,SUD-OUEST,31,7,,16,5,,,31,7,,-15,-26,-31,0.45,-2,-7,0.8,0.25,,-57,-7,,,-24,-31,1.2,,-7,1.55,0.35,,0.75,-9,-16,1.3,0.1,-5,1.55,0.35,,-16,-5,,0.75,-9,-16,1.3,0.1,-5,1.55,0.35,,1.55,0.35,,0.8,0.25,,1.55,0.35,,,-24,-31,1.2,,-7,1.55,0.35,,-15,-26,-31,0.45,-2,-7,0.8,0.25,,-31,-7,,0.8,0.25,-11,-16,0.55,-5,
200059889,11,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200060010,52,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200065563,28,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200065589,28,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200065597,28,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200065647,27,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200065787,28,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200065886,84,CENTRE-EST,57,7,,16,5,,,57,7,,-41,-52,-57,0.45,-2,-7,0.8,0.25,,-57,-7,,,-50,-57,2.5,,-7,2.85,0.35,,2.05,-9,-16,2.6,0.1,-5,2.85,0.35,,-16,-5,,2.05,-9,-16,2.6,0.1,-5,2.85,0.35,,2.85,0.35,,0.8,0.25,,2.85,0.35,,,-50,-57,2.5,,-7,2.85,0.35,,-41,-52,-57,0.45,-2,-7,0.8,0.25,,-57,-7,,0.8,0.25,-11,-16,0.55,-5,
200065894,84,CENTRE-EST,57,7,,16,5,,,57,7,,-41,-52,-57,0.45,-2,-7,0.8,0.25,,-57,-7,,,-50,-57,2.5,,-7,2.85,0.35,,2.05,-9,-16,2.6,0.1,-5,2.85,0.35,,-16,-5,,2.05,-9,-16,2.6,0.1,-5,2.85,0.35,,2.85,0.35,,0.8,0.25,,2.85,0.35,,,-50,-57,2.5,,-7,2.85,0.35,,-41,-52,-57,0.45,-2,-7,0.8,0.25,,-57,-7,,0.8,0.25,-11,-16,0.55,-5,
200065928,53,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066009,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066017,28,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066025,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066033,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066041,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066058,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066108,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066116,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066124,76,SUD-EST,44,7,,16,5,,,44,7,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-57,-7,,,-37,-44,1.85,,-7,2.2,0.35,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,-16,-5,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,2.2,0.35,,0.8,0.25,,2.2,0.35,,,-37,-44,1.85,,-7,2.2,0.35,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-44,-7,,0.8,0.25,-11,-16,0.55,-5,
200066132,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066140,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066157,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066165,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066173,44,NORD-EST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066223,76,SUD-EST,44,7,,16,5,,,44,7,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-57,-7,,,-37,-44,1.85,,-7,2.2,0.35,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,-16,-5,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,2.2,0.35,,0.8,0.25,,2.2,0.35,,,-37,-44,1.85,,-7,2.2,0.35,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-44,-7,,0.8,0.25,-11,-16,0.55,-5,
200066231,76,SUD-EST,44,7,,16,5,,,44,7,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-57,-7,,,-37,-44,1.85,,-7,2.2,0.35,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,-16,-5,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,2.2,0.35,,0.8,0.25,,2.2,0.35,,,-37,-44,1.85,,-7,2.2,0.35,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-44,-7,,0.8,0.25,-11,-16,0.55,-5,
200066280,24,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066322,76,SUD-EST,44,7,,16,5,,,44,7,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-57,-7,,,-37,-44,1.85,,-7,2.2,0.35,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,-16,-5,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,2.2,0.35,,0.8,0.25,,2.2,0.35,,,-37,-44,1.85,,-7,2.2,0.35,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-44,-7,,0.8,0.25,-11,-16,0.55,-5,
200066330,24,NORD-OUEST,48,7,,16,5,,,48,7,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-57,-7,,,-41,-48,2.05,,-7,2.4,0.35,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,-16,-5,,1.6,-9,-16,2.15,0.1,-5,2.4,0.35,,2.4,0.35,,0.8,0.25,,2.4,0.35,,,-41,-48,2.05,,-7,2.4,0.35,,-32,-43,-48,0.45,-2,-7,0.8,0.25,,-48,-7,,0.8,0.25,-11,-16,0.55,-5,
200066348,76,SUD-EST,44,7,,16,5,,,44,7,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-57,-7,,,-37,-44,1.85,,-7,2.2,0.35,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,-16,-5,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,2.2,0.35,,0.8,0.25,,2.2,0.35,,,-37,-44,1.85,,-7,2.2,0.35,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-44,-7,,0.8,0.25,-11,-16,0.55,-5,
200066355,76,SUD-EST,44,7,,16,5,,,44,7,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-57,-7,,,-37,-44,1.85,,-7,2.2,0.35,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,-16,-5,,1.4,-9,-16,1.95,0.1,-5,2.2,0.35,,2.2,0.35,,0.8,0.25,,2.2,0.35,,,-37,-44,1.85,,-7,2.2,0.35,,-28,-39,-44,0.45,-2,-7,0.8,0.25,,-44,-7,,0.8,0.25,-11,-16,0.55,-5,
